date,total_steps,active_minutes,calories
2016-03-30,15491,95,2244
2016-03-31,14097,82,2188
2016-04-01,10467,54,2014
2016-04-02,12437,74,2115
2016-04-03,12307,65,2055
2016-04-04,18952,93,2437
2016-04-05,12010,55,2158
2016-04-06,12480,69,2170
2016-04-07,13417,61,2244
2016-04-08,14400,64,2188
2016-04-09,12495,52,2231
2016-04-10,10148,26,2100
2016-04-11,12362,59,2188
2016-04-12,5893,52,917
