date,total_steps,active_minutes,calories
2016-04-01,18700,70,3527
2016-04-02,27572,140,4220
2016-04-03,15260,123,3864
2016-04-04,20779,94,3662
2016-04-05,10695,13,2834
2016-04-06,24136,103,4039
2016-04-07,10910,43,2947
2016-04-08,23014,99,4196
2016-04-09,16470,99,3841
2016-04-10,28497,174,4526
2016-04-11,10622,25,2820
2016-04-12,2350,0,938
