bodyId,class,type,instance,somaSide
48313,Kenyon_Cell,KCg-m,KCg-m_R,R
48337,Kenyon_Cell,KCg-m,KCg-m_L,L
48347,Kenyon_Cell,KCg-m,KCg-m_R,R
48438,Kenyon_Cell,KCg-d,KCg-d_R,R
48443,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
48502,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
48515,Kenyon_Cell,KCg-m,KCg-m_R,R
48517,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
48533,Kenyon_Cell,KCg-d,KCg-d_R,R
48596,Kenyon_Cell,KCg-m,KCg-m_L,L
48632,Kenyon_Cell,KCg-d,KCg-d_R,R
48641,Kenyon_Cell,KCg-d,KCg-d_R,R
48729,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
48759,Kenyon_Cell,KCg-m,KCg-m_L,L
48779,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
48829,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
48886,Kenyon_Cell,KCg-m,KCg-m_R,R
48904,Kenyon_Cell,KCg-m,KCg-m_R,R
48912,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
48975,Kenyon_Cell,KCg-m,KCg-m_R,R
48978,Kenyon_Cell,KCg-d,KCg-d_R,R
49019,Kenyon_Cell,KCg-m,KCg-m_R,R
49022,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
49043,DAN,PAM07,PAM07(y4<y1y2)_R,R
49052,Kenyon_Cell,KCg-d,KCg-d_R,R
49073,Kenyon_Cell,KCg-m,KCg-m_R,R
49124,Kenyon_Cell,KCg-m,KCg-m_L,L
49160,Kenyon_Cell,KCg-m,KCg-m_L,L
49254,Kenyon_Cell,KCg-m,KCg-m_R,R
49262,MBON,MBON10,MBON10(B'1)_R,R
49279,Kenyon_Cell,KCg-m,KCg-m_R,R
49345,Kenyon_Cell,KCg-d,KCg-d_R,R
49354,Kenyon_Cell,KCab-c,KCab-c_R,R
49363,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
49365,Kenyon_Cell,KCab-s,KCab-s_R,R
49394,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
49420,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
49450,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
49480,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
49526,Kenyon_Cell,KCg-m,KCg-m_L,L
49535,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
49544,Kenyon_Cell,KCg-m,KCg-m_L,L
49545,Kenyon_Cell,KCg-m,KCg-m_L,L
49569,Kenyon_Cell,KCg-m,KCg-m_R,R
49594,Kenyon_Cell,KCab-s,KCab-s_R,R
49632,Kenyon_Cell,KCg-m,KCg-m_R,R
49661,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
49687,Kenyon_Cell,KCg-m,KCg-m_R,R
49709,Kenyon_Cell,KCg-d,KCg-d_R,R
49710,Kenyon_Cell,KCg-d,KCg-d_R,R
49750,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
49752,Kenyon_Cell,KCg-m,KCg-m_R,R
49774,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
49805,Kenyon_Cell,KCg-m,KCg-m_R,R
49867,Kenyon_Cell,KCg-m,KCg-m_L,L
49899,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
49903,Kenyon_Cell,KCg-m,KCg-m_R,R
49950,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
49978,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
49987,Kenyon_Cell,KCg-m,KCg-m_R,R
50035,Kenyon_Cell,KCg-m,KCg-m_R,R
50057,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
50065,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
50122,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
50123,Kenyon_Cell,KCab-s,KCab-s_R,R
50185,Kenyon_Cell,KCg-m,KCg-m_R,R
50256,Kenyon_Cell,KCg-m,KCg-m_R,R
50291,Kenyon_Cell,KCg-m,KCg-m_R,R
50304,Kenyon_Cell,KCg-m,KCg-m_R,R
50411,Kenyon_Cell,KCg-m,KCg-m_L,L
50427,Kenyon_Cell,KCab-s,KCab-s_R,R
50454,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
50471,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
50568,Kenyon_Cell,KCg-m,KCg-m_L,L
50582,Kenyon_Cell,KCg-d,KCg-d_R,R
50591,Kenyon_Cell,KCg-m,KCg-m_L,L
50659,Kenyon_Cell,KCab-c,KCab-c_R,R
50698,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
50705,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
50712,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
50744,Kenyon_Cell,KCg-m,KCg-m_R,R
50746,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
50776,Kenyon_Cell,KCab-s,KCab-s_R,R
50791,Kenyon_Cell,KCg-m,KCg-m_L,L
50820,Kenyon_Cell,KCg-m,KCg-m_L,L
50839,Kenyon_Cell,KCg-m,KCg-m_R,R
50933,Kenyon_Cell,KCg-d,KCg-d_L,L
51010,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
51053,Kenyon_Cell,KCg-m,KCg-m_L,L
51054,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
51055,Kenyon_Cell,KCg-m,KCg-m_L,L
51093,Kenyon_Cell,KCg-m,KCg-m_R,R
51095,Kenyon_Cell,KCg-m,KCg-m_R,R
51113,Kenyon_Cell,KCg-m,KCg-m_R,R
51121,Kenyon_Cell,KCg-m,KCg-m_R,R
51195,Kenyon_Cell,KCg-m,KCg-m_R,R
51254,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
51318,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
51330,Kenyon_Cell,KCg-m,KCg-m_L,L
51334,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
51354,Kenyon_Cell,KCg-m,KCg-m_R,R
51383,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
51391,Kenyon_Cell,KCg-m,KCg-m_R,R
51394,Kenyon_Cell,KCab-p,KCab-p_R,R
51408,Kenyon_Cell,KCg-m,KCg-m_R,R
51428,Kenyon_Cell,KCg-m,KCg-m_R,R
51430,Kenyon_Cell,KCg-m,KCg-m_R,R
51459,Kenyon_Cell,KCg-m,KCg-m_L,L
51516,Kenyon_Cell,KCg-m,KCg-m_R,R
51535,Kenyon_Cell,KCg-m,KCg-m_L,L
51538,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
51552,Kenyon_Cell,KCg-m,KCg-m_L,L
51553,Kenyon_Cell,KCg-m,KCg-m_L,L
51556,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
51583,Kenyon_Cell,KCg-m,KCg-m_L,L
51600,Kenyon_Cell,KCab-p,KCab-p_R,R
51667,Kenyon_Cell,KCg-m,KCg-m_R,R
51679,Kenyon_Cell,KCg-d,KCg-d_R,R
51686,Kenyon_Cell,KCab-p,KCab-p_R,R
51688,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
51715,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
51742,Kenyon_Cell,KCg-m,KCg-m_L,L
51745,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
51751,Kenyon_Cell,KCg-m,KCg-m_L,L
51753,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
51795,Kenyon_Cell,KCa'b'-m,KCa'b'-m_L,L
51855,Kenyon_Cell,KCg-m,KCg-m_R,R
51865,Kenyon_Cell,KCg-m,KCg-m_L,L
51866,Kenyon_Cell,KCg-m,KCg-m_R,R
51883,Kenyon_Cell,KCg-m,KCg-m_R,R
51894,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
51937,Kenyon_Cell,KCg-m,KCg-m_L,L
51998,Kenyon_Cell,KCg-d,KCg-d_R,R
52022,Kenyon_Cell,KCg-m,KCg-m_R,R
52140,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
52141,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
52156,Kenyon_Cell,KCg-m,KCg-m_R,R
52189,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_L,L
52220,Kenyon_Cell,KCg-m,KCg-m_R,R
52267,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
52318,Kenyon_Cell,KCg-m,KCg-m_L,L
52337,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
52402,Kenyon_Cell,KCg-m,KCg-m_R,R
52513,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
52518,Kenyon_Cell,KCg-m,KCg-m_R,R
52564,Kenyon_Cell,KCg-m,KCg-m_L,L
52575,Kenyon_Cell,KCg-m,KCg-m_R,R
52581,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
52594,Kenyon_Cell,KCg-d,KCg-d_R,R
52613,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
52704,Kenyon_Cell,KCab-s,KCab-s_L,L
52706,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
52751,Kenyon_Cell,KCg-d,KCg-d_R,R
52773,Kenyon_Cell,KCg-m,KCg-m_R,R
52789,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
52824,Kenyon_Cell,KCab-s,KCab-s_L,L
52856,Kenyon_Cell,KCg-m,KCg-m_L,L
52877,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
52907,Kenyon_Cell,KCg-d,KCg-d_R,R
52923,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
52933,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
52938,Kenyon_Cell,KCg-m,KCg-m_L,L
52972,Kenyon_Cell,KCa'b'-m,KCa'b'-m_R,R
53014,Kenyon_Cell,KCab-s,KCab-s_R,R
53050,Kenyon_Cell,KCg-m,KCg-m_R,R
53099,Kenyon_Cell,KCg-m,KCg-m_R,R
53144,Kenyon_Cell,KCg-m,KCg-m_R,R
53154,Kenyon_Cell,KCg-m,KCg-m_R,R
53173,Kenyon_Cell,KCg-m,KCg-m_R,R
53178,Kenyon_Cell,KCg-m,KCg-m_R,R
53217,Kenyon_Cell,KCg-d,KCg-d_R,R
